character,series,wishlist
Urban Shadow Choux,Epic Seven,2
DG,Lookism,34
Spirit Eye Celine,Epic Seven,1
Marshall Law,Tekken 1,3
Fieri Yunis,The Legendary Hero Is Dead!,1
Marguerite Farom,The Legendary Hero Is Dead!,2
Shiryu Tonozaki,Ryman's Club,1
Robby's Wife,Pluto,1
Narciso Anasui,JoJo's Bizarre Adventure: Stone Ocean,56
Mystia Lorelei,Touhou Project,5
Luna (Laurel),Punishing Gray Raven,9
Van Gogh,Fate/Grand Order,13
Wubbaboo,Honkai: Star Rail,3
Sanma,Food Fantasy,1
Wallace,Pluto,0
Sakura Miko,Hololive: Holo no Graffiti,83
Minoriko Aki,Touhou Project,1
Abigail,Epic Seven,2
Yuuko Kanoe,Dusk Maiden of Amnesia,45
Isabelle Cariello,The Unwanted Undead Adventurer,0
Ami Tsuruga,The Café Terrace and Its Goddesses,8
Moussaka,Food Fantasy,1
Nagomi Wahira,Akiba Maid War,11
Rairai Tengaku,Meikei no Lupercalia,2
Emul,Shangri-La Frontier,74
Magia Magenta,Gushing over Magical Girls,11
Packhound,Shangri-La Frontier,1
Execu-Panther,Shangri-La Frontier,0
Katzo Tataki,Shangri-La Frontier,0
Senji Hizutome,Shangri-La Frontier,1
Rose,The Wrong Way to Use Healing Magic,89
Eri,The Kingdoms of Ruin,1
Grand Slime,The Unwanted Undead Adventurer,1
Run,Akame ga Kill!,4
Nora,Neural Cloud,9
Saiko Yonebayashi,Tokyo Ghoul:re,6
Enkidu,Fate/Grand Order,31
Yaoyao,Genshin Impact,23
Swim Swim,Magical Girl Raising Project,2
Yanagi,Hagane Orchestra,0
Wade Davis,The Reason Why Raeliana Ended Up at the Duke's Mansion,0
Future Devil,Chainsaw Man,6
Alvin Godfrey,Reign of the Seven Spellblades,0
Chaos Sect Axe,Epic Seven,1
Ishtar Ashtart,Fate/Grand Order,8
Salmon Oyakodon,Food Fantasy,1
Kuro,The Masterful Cat Is Depressed Again Today,1
Tomahawk Steak,Food Fantasy,2
Eso,Jujutsu Kaisen,1
Ana Schariac,Honkai Impact 3rd,2
Sajou's Mother,The Dreaming Boy is a Realist,1
Lots Greenwood,Epic Seven,1
Fern,Frieren: Beyond Journey's End,1509
Julia Chang,Tekken 3,2
Venom Monkey,The Wrong Way to Use Healing Magic,0
Tamae Okamine,Date a Live,1
Requiem Roana,Epic Seven,1
Roana,Epic Seven,1
Koki Takeda,Ryman's Club,1
Kafka,Honkai: Star Rail,1554
Trish Una,JoJo's Bizarre Adventure: Golden Wind,24
Nero Alice's Stuffed Animal,Gushing over Magical Girls,1
Devil Cheese Burger,Obey Me!,3
Thunder Kid,Yu-Gi-Oh! Capsule Monsters,1
Neo Aqua Madoor,Yu-Gi-Oh! Capsule Monsters,1
Mystical Sand,Yu-Gi-Oh! Capsule Monsters,1
Performapal Monkeyboard,Yu-Gi-Oh! Arc-V,1
Leo Akaba,Yu-Gi-Oh! Arc-V,1
Raidraptor - Rise Falcon,Yu-Gi-Oh! Arc-V,1
Hiroomi Souma,Working'!!,1
Setsuna,Yashahime: Princess Half-Demon,5
Kurumi Saijou,Wonder Egg Priority,3
Jun Satou,Working'!!,1
Ayaka Kagari,Witch Craft Works,5
Towa Higurashi,Yashahime: Princess Half-Demon,5
Fubuki,Yashahime: Princess Half-Demon,1
Yuan Ding,Yao Jing Zhong Zhi Shou Ce,1
Yachiyo Todoroki,Working'!!,1
Soo-Won,Yona of the Dawn,13
Poplar Taneshima,Working'!!,2
Setsuna Ogiso,White Album 2,2
Ichika Takatsuki,Waiting in the Summer,2
Niké,Wandering Witch: The Journey of Elaina,1
Shou Akitsuki,Wave!!: Surfing Yappe!!,1
Estelle,Wandering Witch: The Journey of Elaina,1
Wakaba Kohashi,Wakaba*Girl,1
Emil,Wandering Witch: The Journey of Elaina,1
Edy Nelson,Valkyria Chronicles,1
Lum,Urusei Yatsura,77
Brigitte Stark,Valkyria Chronicles,1
Tsuki Uzaki,Uzaki-chan Wants to Hang Out!,8
Airi Arcadia,Undefeated Bahamut Chronicle,1
Celestia Ralgris,Undefeated Bahamut Chronicle,5
Saniya,Undefeated Bahamut Chronicle,1
Henriette Belew,Unbreakable Machine-Doll,1
Junichiro Kagami,Ultimate Otaku Teacher,1
Patchouli Knowledge,Touhou Project,38
Ami Kawashima,Toradora!,20
Aoi Akane,Toilet-Bound Hanako-kun,59
Kishou Arima,Tokyo Ghoul,53
Otoko Hotaruzuka,Today's Menu for Emiya Family,1
Chikaomi Tsurugi,Tokyo Mirage Sessions FE,1
Nanamine Sakura,Toilet-Bound Hanako-kun,44
Manny,Titipo Titipo,1
Maria Imari,This Art Club Has a Problem!,1
Kanon Nakagawa,The World God Only Knows II,4
Jericho,The Seven Deadly Sins,9
Erhard,The Rising of the Shield Hero,1
Ichika Nakano,The Quintessential Quintuplets,303
Kloe Rinz,The Legend of Heroes: Trails in the Sky,4
Agate Crosner,The Legend of Heroes: Trails in the Sky,3
Honami Seo,The Magic of Chocolate,0
Athletics Festival Girl A,The Melancholy of Haruhi Suzumiya (2009),1
Cassius Bright,The Legend of Heroes: Trails in the Sky,1
Scherazad Harvey,The Legend of Heroes: Trails in the Sky,6
Shiro,The Helpful Fox Senko-san,26
Nah Bongchim,The God of High School,1
Angelina Kudou Shields,The Irregular at Magic High School Movie: The Girl Who Summons the Stars,6
Siesta,The Familiar of Zero,5
Saito Hiraga,The Familiar of Zero,15
Kang Manseok,The God of High School,1
Emi Yusa,The Devil Is a Part-Timer!,23
Seiko Yoshida,The Demon Girl Next Door,1
Sadao Maou,The Devil Is a Part-Timer!,35
Shin Ganapati Bertuccio,The Case Files of Jeweler Richard,0
Lord Marshall Edgar,The 8th son? Are you kidding me?,0
Klimt Kristoff von Armstrong,The 8th son? Are you kidding me?,0
Elias Ainsworth,The Ancient Magus' Bride: Those Awaiting a Star,120
Terraformar,Terra Formars,4
Paraponera Terraformar,Terra Formars,1
Desert Locust Terraformar,Terra Formars,1
Invoker,Terra Formars,1
Ground Beetle Terraformar,Terra Formars,1
Archerfish Terraformar,Terra Formars,1
Demon Dragonfly Terraformar,Terra Formars,1
Moguo Iijima,Talentless Nana,1
Paparin,Teekyuu 8 Specials,1
Sawa Okita,Tari Tari,1
Kanae Shinjo,Teekyuu 2,1
Kirara Habu,Talentless Nana,1
Nanao Nakajima,Talentless Nana,3
Tamako Kitashirakawa,Tamako Market,19
LLENN,Sword Art Online Alternative: Gun Gale Online,41
La Folia Rihavein,Strike the Blood,28
Vanilla Mieux,Sugar Sugar Rune,5
Candy Mieux,Sugar Sugar Rune,1
Reporter,Sushi Police,1
Pierre Tempete de Neige,Sugar Sugar Rune,1
Vulgar's Pubic Hair,Space Battleship Tiramisu Specials,6
Edgar,Soul Worker: Your Destiny Awaits,1
Shizuka Kominami,Skirt no Naka wa Kedamono Deshita.,1
Toh Ayano,Smile Down the Runway,1
Hime Onizuka,Sket Dance,1
Reo Kawamura,Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,4
Hikari Kagura,Shoujo Kageki Revue Starlight,4
Prince of Darkness,Shironeko Project: Zero Chronicle,1
Chie Sayama,Shoujo Ramune,7
Iris,Shironeko Project: Zero Chronicle,1
Midori Imai,Shirobako,1
Mei Nakaharu,Shirobako,0
Suzuka Itou,Shirobako,1
Raging Ettin,Shadowverse,1
Dragon Warrior,Shadowverse,1
Mugen (Hatsuho Shinonome Type),Shin Sakura Wars,0
Undo-chan,Shinra-Bansho – Kirameki Inokori Daisenso,1
Shino Amakusa,Seitokai Yakuindomo,9
Moe Morita,Samurai Flamenco,1
Yakumo Tsukamoto,School Rumble,2
Karen Ichijou,School Rumble,1
Jun Inoue,Saki,1
Mako Someya,Saki,1
Momoko Toyoko,Saki,1
Mihoko Fukuji,Saki,1
Nodoka Haramura,Saki,3
Etopen,Saki,2
Utaha Kasumigaoka,Saekano: How to Raise a Boring Girlfriend,34
Eriri Spencer Sawamura,Saekano: How to Raise a Boring Girlfriend,8
Kirari Kawamura,Saekano: How to Raise a Boring Girlfriend Fine,1
Arata Kaizaki,ReLIFE,8
Rena Kariu,ReLIFE,1
Puck,Re:ZERO -Starting Life in Another World-,35
Tokiko Chida,Revolutionary Girl Utena,1
Nao,Recovery of an MMO Junkie,1
Mikatan Narugino,Punch Line,1
Cattleya,Queen's Blade: The Exiled Virgin,4
Canaria Utara,Qualidea Code,1
Itsuki Torataka,Project Scard: Praeter no Kizu,1
Popee,Popee the Performer,19
Popuko,Pop Team Epic,29
Mew,Pokémon: The First Movie,68
Yusuke Kitagawa,Persona 5 the Animation -THE DAY BREAKERS-,51
Jessie,Pokémon,44
Sadayo Kawakami,Persona 5 the Animation,37
Kanji Tatsumi,Persona 4 the Animation,19
Chie Satonaka,Persona 4 the Animation,46
Lucia,Persona 3 the Movie 1: Spring of Birth,1
Migi,Parasyte -the maxim-,45
Ayane Shirakawa,Overflow,298
Shinichi Izumi,Parasyte -the maxim-,76
Sisbell Lou Nebulis IX,Our Last Crusade or the Rise of a New World,5
Obama,Osomatsu-san,34
Akiko Himenokouji,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne! Specials,3
Mashiro Amatsuki,One Room 2nd Season,1
Ohta Gyuichi,Oda Cinnamon Nobunaga,1
Ichiko Oda,Oda Cinnamon Nobunaga,1
Oda Cinnamon Nobunaga,Oda Cinnamon Nobunaga,1
Nora,Noragami,7
Izanami,Noragami Aragoto,1
Kazuma,Noragami,4
Tetsurou Arahabaki,No Guns Life,2
Seira J. Loyard,Noblesse,12
Haruka Nogizaka,Nogizaka Haruka no Himitsu: Finale,4
Dismantler,No Guns Life,1
Oroshi,Ninja Collection,1
Kana,Ninja Collection,0
Moon Ranger,New Game!,1
Itou,Ninja Collection,0
Chidori,Ninja Girl & Samurai Master,1
Toki,Ninja Collection,1
Neeko,Neeko ga VTuber Debut Shite Mita,2
Juugo,Nanbaka,36
Komachi Hikigaya,My Teen Romantic Comedy SNAFU OVA,2
La Brava,My Hero Academia 4,3
Binah,Monster Strike the Animation,0
Miki Hadano,Murenase! Seton Gakuen,1
Pol Pot,Mudazumo Naki Kaikaku,2
Tate Percival,Moriarty the Patriot,1
Lan Wangji,Mo Dao Zu Shi,214
Misogi Kumagawa,Medaka Box,17
Jeantol,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,0
Haruka Kokonose,Mekakucity Actors,9
Titi,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,1
Zephrodai,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,1
Sarodia,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,1
Ribbon,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo the TV,0
Zepes Indu,Maou Gakuin no Futekigousha,1
Michiru Mayumura,Major 2nd,1
Sasha Necron,Maou Gakuin no Futekigousha,27
Kanon,Maou Gakuin no Futekigousha,1
Jodie Bannings,Magical Girl Lyrical Nanoha: Reflection,0
Reno,Maou Gakuin no Futekigousha,1
Cure Miracle,Mahou Tsukai Precure!,2
Mirai Asahina,Mahou Tsukai Precure!,1
Nozomi Toujou,Love Live! School Idol Project,33
Touka Takanashi,"Love, Chunibyo & Other Delusions: Heart Throb",16
Student Council Vice President,Love Live! Nijigasaki High School Idol Club,1
Setsuna Yuki,Love Live! Nijigasaki High School Idol Club,23
Eleonora Viltaria,Lord Marksman and Vanadis,6
Eliza,Lapis Re:LiGHTs,1
Garnet,Lapis Re:LiGHTs,1
Raika Oda,"Listen to Me Girls, I'm Your Father!",1
Ernest Mecklinger,Legend of the Galactic Heroes,1
Rulina,Kuma Kuma Kuma Bear,1
Yayoi Sashirono,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Teruko Chiga,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Rei Handa,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Wiz,KonoSuba: God's blessing on this wonderful world!,85
Iria Akagami,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
I,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,4
Kanami Ibuki,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Maki Himena,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Akari Chiga,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Hikari Chiga,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Akane Sonoyama,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Shinya Sakaki,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,1
Knuckle Joe's Father,Kirby: Right Back at Ya!,1
Rain,Konosuba: Fantastic Days!,1
Umi,"Kanojo, Okarishimasu",1
Shoukaku,Kantai Collection: Kan Colle,1
Yoma Hashimoto,Kishibe Rohan wa Ugokanai,4
Iori Nagase,Kokoro Connect: Michi Random,1
Teddy,Kamen Rider Den-O: Imagin Anime,1
Cannon Buffalo,Kamen Rider SD,1
Harakawa,Kangoku Jikken,1
Ayame,Kai Byoui Ramune,1
Maya Jouga,Is the Order a Rabbit?,2
Stunk,Ishuzoku Reviewers,3
Mamoru Endou,Inazuma Eleven GO,33
Koharu Hondomachi,ID: INVADED,3
Natsumi Yuuseki,I Tried Asking In Dogeza,1
Hitoshi Sonoda,ID: INVADED,1
Touya Mochizuki,In Another World with My Smartphone,3
Aki Toyosaki,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job.",1
Sakaido,ID: INVADED,4
Kiki Asukai,ID: INVADED,1
Haruka Tomatsu,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job.",1
Ayahi Takagaki,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job.",1
Saru,Ikebukuro West Gate Park,1
Miyo Hijiriido,ID: INVADED,1
Suneko,"In the Other World, Ghost Groups Are Everything!",0
Ayako Narihisago,ID: INVADED,1
Purple Heart,Hyperdimension Neptunia,35
Neptune,Hyperdimension Neptunia,45
Satoshi Fukube,Hyouka,5
Masashi Tougaito,Hyouka,1
Loaf,Humanity Has Declined,3
Hina Tsurugi,Houkago Teibou Nisshi,2
Chicchai I,Hiragana Danshi,1
Baobao Feng,Hitori no Shita: The Outcast,2
Koharu Idaka,Hi Score Girl,2
Sakuya Aizawa,Hayate the Combat Butler!,1
Hinagiku Katsura,Hayate the Combat Butler!,6
Ruka Suirenji,Hayate the Combat Butler! Heaven Is a Place on Earth,1
Maria,Hayate the Combat Butler!,2
Athena Tennousu,Hayate the Combat Butler! Cuties,2
Hayate Ayasaki,Hayate the Combat Butler!,6
Mariah Grene,Hatena Illusion,0
Fujimura Asuka,Hang On! Climbing Girls,1
Ayumu Nishizawa,Hayate the Combat Butler!,1
Yuki,Gurazeni: Money Pitch,1
May,Guilty Gear,19
Millia Rage,Guilty Gear,8
Rinko Iori,Gundam Build Fighters,5
Mobile Doll Sarah,Gundam Build Divers Re:RISE,1
Female Hero,Goblin Slayer,1
Kamui,Gintama,6
Chitose Karasuma,Girlish Number,1
Tae Shimura,Gintama,2
Isaburo Sasaki,Gintama',2
Mitsuba Okita,Gintama,1
Wanyan,Genshin Impact,1
HEUSC,Fugou Keiji: Balance:Unlimited,1
Mandrake Root,Flying Witch,1
Wolt,Fire Emblem: The Binding Blade,1
Fire Defense Agency Chief,Fire Force Season 2,1
Hilda Valentine Goneril,Fire Emblem: Three Houses,25
Jeritza von Hrym,Fire Emblem: Three Houses,1
Eirika,Fire Emblem: The Sacred Stones,10
Female Corrin,Fire Emblem Fates,39
Lucina,Fire Emblem Awakening,72
Remon Aizawa,Eroge! H mo Game mo Kaihatsu Zanmai,1
Toshirou Iwaya,Extra Olympia Kyklos,1
Kisara Himeno,Eroge! H mo Game mo Kaihatsu Zanmai,12
Tempest Surin,Epic Seven,1
Sachiko Fujinuma,ERASED,3
Yuna Woo,Epic Seven,1
Kururi Orihara,Durarara!! X2,1
Biblica,Epic Seven,1
Simon Brezhnev,Durarara!!,2
Vorona,Durarara!! X2,1
Silver Blade Aramintha,Epic Seven,1
Nana,Elfen Lied,7
Shizuo Heiwajima,Durarara!!,42
Kazran,Epic Seven,2
Melissa Bloodrose,Epic Seven,2
Challenger Dominiel,Epic Seven,1
Benio Yonomori,Engaged to the Unidentified,1
Gaga,Drifting Dragons,1
Yukari,Divine Gate,1
Sora Tenkuuji,Dokyuu Hentai HxEros,1
Cinque Izumi,Dog Days,1
Chiya Houya,Dokyuu Hentai HxEros,1
Midori,Divine Gate,1
Kirara Hoshino,Dokyuu Hentai HxEros,3
Ariton,Divine Gate,1
Rouge Piedmont,Dog Days,1
Murata,Demon Slayer: Kimetsu no Yaiba,8
Okou,Demashita! Powerpuff Girls Z,1
Rinne Sonogami,Date A Live: Rinne Utopia,7
Yin,Darker than Black,19
Hijikata Isami,Date A Bullet: Dead or Bullet,1
Habara,Daily Lives of High School Boys,1
Utamaru,Da Capo,1
Yume Asakura,Da Capo II,0
Motoharu,Daily Lives of High School Boys,1
Kei Okazaki,Collar X Malice,16
Takao's Mother,D-Frag!,0
Ruki Irokawa,Comic Girls,1
Sakura Nozomi,Crimson Girls: Chikan Shihai,1
Suzu Fuura,Comic Girls,1
Millennium Earl,D.Gray-man,6
Koyume Koizuka,Comic Girls,1
Mahiru Konatsuki,Conception,1
Aoyama,Clean Freak! Aoyama-kun,9
Vampire Gambler Ryu,City Hunter,1
Dalsiena Che-Matelna,Chrome Shelled Regios,0
Ariadoa,Cautious Hero: The Hero Is Overpowered but Overly Cautious,1
Karen Ayugase,Castle Town Dandelion,1
Killer T Cell,Cells at Work! CODE BLACK!,1
Yuri Mariya,Campione!,1
The Glow,Cardcaptor Sakura,1
Erica Blandelli,Campione!,4
Kanade Sakurada,Castle Town Dandelion,1
Mu,Caligula,2
Welanna,By the Grace of the Gods,1
Kyouichi Kanzaki,Boys Be...,0
Tamotsu,Boku no Pico,1
Bonobono,Bonobono,1
Gundula Rall,Brave Witches,1
Manko,Boku no Pico,1
Pico's Grandfather,Boku no Pico,2
Coco,Boku no Pico,5
Kochou Wang,Boarding School Juliet,2
Bunny,Blood-C,1
Hakaze Kusaribe,Blast of Tempest,2
Kagetane Hiruko,Black Bullet,7
Louis,Beastars,38
Haru,Beastars,29
Meme Oshino,Bakemonogatari,26
Yuji Sakamoto,Baka and Test - Summon the Beasts,2
Hideyoshi Kinoshita,Baka and Test - Summon the Beasts,7
Charce Lecroix,Astra Lost in Space,1
Tomohito Sugino,Assassination Classroom,2
Tadaomi Karasuma,Assassination Classroom,12
Ryutarou Sakagami,Arifureta: From Commonplace to World's Strongest,1
Previous Gondola Owner,Aria the Natural,0
Yukiko Kanzaki,Assassination Classroom,1
Meg Kataoka,Assassination Classroom,1
Yuzuru Otonashi,Angel Beats!,5
Moffle,Amagi Brilliant Park,1
Sylphy,Amagi Brilliant Park,1
Hideki Hinata,Angel Beats!,4
Noda,Angel Beats!,2
Shimamura Hougetsu,Adachi to Shimamura,20
Shimamura's Sister,Adachi to Shimamura,1
Nagafuji Taeko,Adachi to Shimamura,1
Ayuko Uehara,Aiura,1
Mii,Ai Mai Mii: Mousou Catastrophe,1
Kanaka Amaya,Aiura,1
Misaki Shokuhou,A Certain Scientific Railgun S,35
Touma Kamijou,A Certain Scientific Railgun S,37
Nayuta Kani,A Sister's All You Need,35
Yuzuki Eba,A Town Where You Live,1
Yuri Nakamura,Angel Beats!,12
Mao Nanjou,"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?",1
Lenalee Lee,D.Gray-man,22
Kazue Nanpo,Saki,1
Sumiyo Fukabori,Saki,1
Shinohara Kyouka,Soukou Musume Senki,1
Chomusuke,KonoSuba: God's blessing on this wonderful world! 2,31
Hu Tao,Genshin Impact,1851
Meta Knight,Kirby: Right Back at Ya!,41
Keira Espada,Assassins Pride,1
Tsukihi Araragi,Bakemonogatari,31
Suzuha Amane,Steins;Gate,40
Tsubasa Takahashi,King of Prism: Shiny Seven Stars,0
Atri,ATRI -My Dear Moments-,17
Melissa,Konosuba: Fantastic Days!,21
Itsuki Saijo,Shin Sakura Wars,0
Swindler,Akudama Drive,20
Jim McNeil,Hortensia Saga,1
Elva,Hortensia Saga,1
Daiya Oomine,Utsuro no Hako to Zero no Maria,1
Hana Sugurono,7 Seeds,1
Airi Gotou,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",7
Haida,Aggretsuko (2016),17
Emma,The Promised Neverland,1
Blade,Redo of Healer,5
Rua Nakamachi,Dropout Idol Fruit Tart,1
Jun Kazama,Tekken 2,5
Yuri Yanagi,Utsuro no Hako to Zero no Maria,1
Estella,Vivy: Fluorite Eye's Song,1
Kento Tosa,Boarding School Juliet,1
Haruaki Usui,Utsuro no Hako to Zero no Maria,1
Erika Ou,Darker than Black,0
Mayu Otsuka,Darker than Black,1
Iroha Shindou,Utsuro no Hako to Zero no Maria,1
Kasumi Mogi,Utsuro no Hako to Zero no Maria,1
Ashley Ono,A Sister's All You Need,1
Kokone Kirino,Utsuro no Hako to Zero no Maria,1
Fallen Cecilia,Epic Seven,4
Shirokusa Kachi,Osamake: Romcom Where The Childhood Friend Won't Lose,3
Dendritic Cell,Cells at Work!,1
Kazuki Hoshino,Utsuro no Hako to Zero no Maria,1
Aya Otonashi,Utsuro no Hako to Zero no Maria,3
Arisa Yuzuki,Darker than Black,1
Gray Fullbuster,Fairy Tail,175
Nua Nakamachi,Dropout Idol Fruit Tart,1
Reona Kisaragi,Full Dive: The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,5
Erika Kaga,Kemono Jihen,1
Tsurugi Okachimachi,King of Prism: Pride the Hero,0
Aoi Hinami,Bottom-tier Character Tomozaki,16
Hayate,Rascal Does Not Dream of Bunny Girl Senpai,6
Inamoto-san,SSSS.Dynazenon,1
Yume Minami,SSSS.Dynazenon,11
Diana,Zero Escape,1
Hakuei Ren,Magi: The Kingdom of Magic,2
Exodia the Forbidden One,Yu-Gi-Oh! Duel Monsters,23
Makoto Naegi,Danganronpa: The Animation,48
Sylphiette,Mushoku Tensei: Jobless Reincarnation,252
Slug Type Noise,Symphogear,1
Keroberos,Cardcaptor Sakura,28
Noa Takigawa,Yamada-kun and the Seven Witches,3
Chika Hakozaki,Hyperdimension Neptunia mk2,1
5pb.,Hyperdimension Neptunia,1
Estelle,Hyperdevotion Noire: Goddess Black Heart,1
Minori Kishimoto,Slam Dunk,1
Adult Neptune,Hyperdimension Neptunia,14
Belphegor,REBORN!,6
Kai Tamaru,Koikimo,1
Satoru Kakuta,Slam Dunk,1
Gab,Zero Escape,1
Edens Zero,Edens Zero,1
White Sister Ram,Hyperdimension Neptunia,2
Yuzuha Mishima,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",2
André Grandier,The Rose of Versailles,1
Black Cat Princess,Cyberdimension Neptunia: 4 Goddesses Online,1
Izebel,Tears to Tiara II: Heir of the Overlord,1
Mirana,DOTA: Dragon's Blood,9
Yorimichi Kuroba,2.43: Seiin Koukou Danshi Volley-bu,0
Miguel Caballero Rojo,Tekken 6,1
Togo Sekiguchi,ODDTAXI,1
Youko Shinpo,"Kanojo, Okarishimasu",1
Mitsuru Kirijo,Persona 3 the Movie 2: Midsummer Knight's Dream,117
Masataka Kiyomizu,Tokyo Revengers,1
Rosso,Elsword,1
Hina,Hinamatsuri,6
Wana Naganawa,Pretty Boy Detective Club,1
Quinella,Sword Art Online: Alicization,35
Mysterious Heroine X,Fate/Grand Order,5
Touya Kenmochi,Nijisanji,2
Haru Kaida,Nijisanji,6
Aika Sakuranomiya,Blend S,1
Victorique de Blois,Gosick,39
Hawthorn Grator,Peach Boy Riverside,1
Pig Instructor,The Dungeon of Black Company,1
Kanone Hilbert,Spiral: Bond of Reasoning,1
Cheza,Wolf's Rain,6
Sariel,The Seven Heavenly Virtues,20
Han Daewi,The God of High School,36
Shougo Makishima,Psycho-Pass,22
Hiroshi Odawara,Those Snow White Notes,1
Yoshifumi Nitta,Hinamatsuri,1
Monshiro,Psychedelica of the Black Butterfly,1
Romero,Zombieland Saga,1
Beat,The World Ends with You,9
Kaito Shindo,Yumeiro Cast,1
Legato Bluesummers,Trigun,5
Asahi Yuga,Onegai Patron-sama,1
Kuzuha,Nijisanji,32
Yoshino,Date a Live,65
Ace,Zero Escape,1
Guild Girl,Goblin Slayer,7
Afro-Ken,Afro-Ken,30
Teru Minamoto,Toilet-Bound Hanako-kun,52
Luna,Zero Escape,1
Hel,The Detective is Already Dead,2
Macrophage,Cells at Work!,8
Mem-Cho,Oshi no Ko,133
Eliaria Jamil,By the Grace of the Gods,1
Noela,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,12
Loki,Record of Ragnarok,22
Saki Saki,"Girlfriend, Girlfriend",24
Tsubasa Katsuki,Comic Girls,1
Stephanie Dola,No Game No Life,36
Blair,Soul Eater,52
Female Byleth,Fire Emblem: Three Houses,103
Walkure,takt op.Destiny,4
Jin,Samurai Champloo,46
Shino,Mononoke,1
Chtholly Nota Seniorious,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,63
Kushina,Naruto Shippuden,38
Oberon,Fate/Grand Order,32
Shion,No. 6,29
Nagi Seishiro,Blue Lock,700
Karen Araragi,Bakemonogatari,37
Soubiki Noho,#Compass,1
Lyn,Fire Emblem: The Blazing Blade,39
Kaoru Shimabukuro,The aquatope on white sand,1
Sez Gaien,Epic Seven,3
Jack the Ripper,Record of Ragnarok,96
Rirumu,Wagamama Fairy: Mirumo de Pon!,1
Jeanne de Valois de la Motte,The Rose of Versailles,1
Chihaya Ayase,Chihayafuru,28
Teahouse Shopkeeper,Star Wars: Visions,1
Nozomi Kaminashi,Keijo!!!!!!!!,13
Echizen,Tanaka-kun is Always Listless,1
Carmine,Super Crooks,2
Hana Yurikawa,Mieruko-chan,20
Cure Heart,Dokidoki! Precure,7
Utano Tadano,Uramichi Oniisan,1
Sayo Amakusa,Rurouni Kenshin,1
Mitsumata,Ousama Ranking,1
Villetta Nu,Code Geass: Lelouch of the Rebellion,10
Shura,Rurouni Kenshin,1
Hisaka Tomoshika,VOMS Project,2
Hayu Nukui,Dropout Idol Fruit Tart,1
Maya Kihara,Toradora!,1
Freyr,Fire Emblem Heroes,1
Masrur,Magi: The Kingdom of Magic,2
Konoha Hoshinomori,Gamers!,1
Santa,Zero Escape,2
Grace,Vivy: Fluorite Eye's Song,3
Shiki Tademaru,Kemono Jihen,1
Utahime Iori,Jujutsu Kaisen,90
Mata Hari,Fate/Grand Order,13
Hanako Ikezawa,Katawa Shoujo,38
Riko Saikawa,Miss Kobayashi's Dragon Maid,8
Voldo,Soul Edge,4
Kao Akebi,Akebi's Sailor Uniform,7
Falanya Elk Arbalest,The Genius Prince's Guide to Raising a Nation Out of Debt,2
Natsuki Minagi,Slow Loop,1
