character,series,wishlist
Maes Hughes,Fullmetal Alchemist,27
Zesshi Zetsumei,Overlord II,24
Yinlin,Wuthering Waves,417
Sebasu,Kaiju No. 8,0
Hoochief Menace,Wuthering Waves,0
Mirajane Strauss,Fairy Tail,249
Sahara Wakasa,Chained Soldier,2
Leviathan,Wuthering Waves,2
Baal,Genshin Impact,1998
Glacio Drake,Wuthering Waves,0
Kobayashi,Miss Kobayashi's Dragon Maid,64
Kaeya,Genshin Impact,215
Goku,Dragon Ball Z,1232
Mikasa Ackerman,Attack on Titan,1236
Lou,Naruto Shippuden,1
Himmel,Frieren: Beyond Journey's End,448
Misa Amane,Death Note,484
Toma Hiragi,Wind Breaker,8
Ulquiorra Schiffer,Bleach,341
Yue,Arifureta: From Commonplace to World's Strongest,183
Sayori,Doki Doki Literature Club!,231
Pineapple Bun,Food Fantasy,1
Vanir,KonoSuba: God's blessing on this wonderful world! 2,14
Kurisu Makise,Steins;Gate,551
Lucy,Cyberpunk: Edgerunners,1394
Crabita,First Love Monster,1
Kaguya Yamai,Date a Live II,11
Yuzuru Yamai,Date a Live II,9
Yuuichirou Hyakuya,Seraph of the End: Battle in Nagoya,111
Feng Kowloon,Undead Unluck,3
Yukong,Honkai: Star Rail,24
Sousuke Shima,Skip and Loafer,83
Bellona Moune,Epic Seven,10
Tama Inubouzaki,Magical Girl Raising Project,1
Kano Sazanami,Magical Girl Raising Project,1
Sanae Mokuou,Magical Girl Raising Project,1
Luna,KonoSuba: God's blessing on this wonderful world!,2
Tsunomaki Watame,Hololive: Holo no Graffiti,63
Kiwi Araga,Gushing over Magical Girls,67
Yukika Saegusa,Fate/stay night: Unlimited Blade Works,1
Norikata Emiya,Fate/Zero 2,1
Shirley,Fate/Zero 2,1
Kiritsugu Emiya,Fate/Zero,67
Kariya Matou,Fate/Zero,1
Caster,Fate/stay night,17
Chitose Manazuru,Fate/Requiem,1
Arash,Fate/Prototype: Sougin no Fragments,1
Brynhildr,Fate/Prototype: Sougin no Fragments,5
Yu Mei-ren,Fate/Grand Order,6
Shuten-Douji,Fate/Grand Order,27
Sherlock Holmes,Fate/Grand Order,1
Scheherazade,Fate/Grand Order,15
Rama,Fate/Grand Order,1
Oda Kippoushi,Fate/Grand Order,6
Qin Liangyu,Fate/Grand Order,2
Mochizuki Chiyome,Fate/Grand Order,2
Quetzalcoatl,Fate/Grand Order,24
Miyamoto Musashi,Fate/Grand Order,86
Mecha Eli-chan Mk.II,Fate/Grand Order,1
Fou,Fate/Grand Order,7
Billy the Kid,Fate/Grand Order,1
Gudako,Fate/Grand Order,11
Charles Babbage,Fate/Grand Order,1
Himiko,Fate/Grand Order,7
Demonic Boar,Fate/Grand Order,1
Fergus mac Róich,Fate/Grand Order,1
Helena Blavatsky,Fate/Grand Order,5
Fionn mac Cumhaill,Fate/Grand Order,1
Ganesha,Fate/Grand Order,4
Charles-Henri Sanson,Fate/Grand Order,1
Beni-enma,Fate/Grand Order,2
Sessyoin Kiara,Fate/EXTRA CCC,21
Misao Amari,Fate/Extra Last Encore,1
Flatt Escardos,Fate/Apocrypha,1
Celenike Icecolle Yggdmillennia,Fate/Apocrypha,1
Sieg,Fate/Apocrypha,3
Spartacus,Fate/Apocrypha,1
Caules Forvedge Yggdmillennia,Fate/Apocrypha,1
Aoi Todo,Jujutsu Kaisen,349
Mina Ashido,My Hero Academia,100
Miko Yanase,The Asterisk War,0
Hilda Jane Rowlands,The Asterisk War (2016),0
Yasutaka Nakata,The Case Files of Jeweler Richard,0
Randy Hooke,The Asterisk War,0
Yashiro Shimogamo,The Eccentric Family,0
Kyouko Yatsuzaki,The Asterisk War,0
Kunzite,Tales of Hearts,0
Sayaka Ogata,Sword Gai: The Animation Part II,0
Touko Ichinose,Taboo-Tattoo,0
Shinobu Suzuki,Suki Desu Suzuki-kun!!,0
Iori Senge,Taishou Mebiusline: Chicchai-san,0
Hikaru Suzuki,Suki Desu Suzuki-kun!!,0
Sei,Sukisho,0
Falgar Batros,Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,0
Yuki Souya,Taishou Yakyuu Musume,0
Asuka Nishi,Suzakinishi the Animation,0
Chihiro Itou,Suki Desu Suzuki-kun!!,0
Guero London,Tailenders,0
Kamaboko,Tantei Opera Milky Holmes 2,0
Remi Mizuchi,Sukeban Deka,0
Youki,Sunday Without God,0
Chitose Sakon,The Asterisk War,0
Takafumi Chiaki,STARMYU 3,0
Houx,Sugar Sugar Rune,0
Ryuunosuke Miyaji,Starry Sky,0
Corne Meilleure,Sugar Sugar Rune,0
Touma Shiki,STARMYU 3,0
Hayato Aozora,Starry Sky,0
